연번,구분,데이터명,사이트 주소,날짜,다운로드 횟수
130,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-27 11:11:43,142
131,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-27 11:11:44,106
132,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-27 11:11:45,93
133,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-27 11:11:46,90
134,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-27 11:11:46,97
135,자율주행 차량 데이터,➆ 차량 제어정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=22,2024-02-27 11:11:47,93
136,자율주행 도로 인프라 데이터,➀ 판교제로시티 CCTV 교통계측 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=16,2024-02-27 11:11:48,375
137,자율주행 도로 인프라 데이터,➂ 판교제로시티 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=240,2024-02-27 11:11:49,70
138,자율주행 도로 인프라 데이터,➃ 판교제로시티 레이더 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=241,2024-02-27 11:11:50,143
139,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-27 11:11:50,27
140,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-27 11:11:51,29
141,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-27 11:11:52,7
142,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-27 11:11:53,10
143,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-27 11:11:54,6
144,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-27 11:11:54,30
145,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-27 11:12:18,89
146,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-27 11:12:19,142
147,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-27 11:12:20,106
148,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-27 11:12:21,93
149,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-27 11:12:21,90
150,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-27 11:12:22,97
151,자율주행 차량 데이터,➆ 차량 제어정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=22,2024-02-27 11:12:23,93
152,자율주행 도로 인프라 데이터,➀ 판교제로시티 CCTV 교통계측 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=16,2024-02-27 11:12:24,375
153,자율주행 도로 인프라 데이터,➂ 판교제로시티 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=240,2024-02-27 11:12:25,70
154,자율주행 도로 인프라 데이터,➃ 판교제로시티 레이더 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=241,2024-02-27 11:12:26,143
155,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-27 11:12:26,27
156,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-27 11:12:27,29
157,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-27 11:12:28,7
158,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-27 11:12:29,10
159,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-27 11:12:29,6
160,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-27 11:12:30,30
